data,label,predicted
bini,0,0
jujur gue fan sama jesicca jane tapi putus hubung jesicca sama ericko yang kata ada listy bagai pelakor gue enggak salah listy sih gue malah salah sih ericko nya kayak orang tolol banget gara gara ericko ada wanita sakit jesicca pasti sakit hati lah hianatin begitu listy juga sakit banget lah hujat sana sini terus,0,0
tocil ngapa menang,1,0
nih sumpah sangat sayang dalam kejap ratting kamu turun apalagi indonesia kalau cap pelakor susah hilang harus sabar bakal ada saja yang hujat kamu bagaimana asa orang tua kamu ajar banget buat kita semualebih baik hindar teman dengan lawan jenis apalagi sudah meni tapi seperti nisanya bawa asa kali yamasih kecil yakan tahun laludiperhatiin sama abang ayus dikit langsung terenyuh terus ketemu tiap hari lama lama tumbuh benih cinta sampai lupa kalau sudah punya anak sudah punya istri nisa juga lupa kali kalau dia orang anak bagaimana asa dia misal ayah pergi sama wanita lain allah tapi aku yakin bangetallah sudah siapin laki laki yang jauh lebih baik untuk mbak riri aku harap mbak riri dapat ganti yang jauh lebih baik dari bang ayus inibiar nanti sesal itu sih abang ayus kalau mantan istri dapat yang lebih baik lebih sayang lebih sholeh lebih ganteng dari pada dia,0,0
gila abi bikin jantung debar kalau posisi aku yang prankkkkkk,0,1
gara pcrku lihat vlogny kakak krisna dia jadi berekspetasi ajak buat anak tau,0,0
goodlocking lirikyang biasa saja cuekkin semangat terus kakak,0,0
awal dari goyang tiktok jadi goyang benar mending juga main game juta hasil minggu nge game doang kalau gue yang pengin tau aplikasi nya sudah gue share channel ini,1,0
bahagia asyik sama keluarga,0,0
allah pengin bini kaya begini yawloh,0,1
orang lain wah akhir dika upload vidiome broooooo letsgoo,0,0
pakai enggak mbak,1,1
nih sih bukan pacar tapi bulan madu,1,1
selamat pagi duh enggak tahan,1,0
cantik pintar ahli bela diri raih emas kurang apa lagi itu fina moga karirnya jalan lancar kak,0,0
busyeettt untung banget itu laki wadidowww,0,1
moga keluarga kita aman dari pelakor,0,0
maaf aku tuhan aku rayu ketika sedang lemah saja,0,0
sehat dan bahagia selalu waktu begitu cepat lalu aaakkkk deh punya baby dong,0,0
